Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Match Duration;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Rally Outcome;Rest Time;Game Phase;Barrido Fuerte;Reves;Tipo de recepcion
;Rally Time (1);1;;;8433;3133;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;;;;;;;;;;
Fitriani Fitriani;"-1;-24 (1)";1;1;7;6433;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;7;Fitriani Fitriani;Forehand long service;11;;;Construccion;;;
Mutiara Ayu Puspitasar;"16;62 (1)";1;2;12;8600;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;OUT LENGTH;;;;Unforced Fitriani Fitriani;;Construccion;;;
Mutiara Ayu Puspitasar;Rest Time (1);1;;;11566;8000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;;1;1;Akmil Open 2021;40;430;;;;;;Rest Time;;;;
Mutiara Ayu Puspitasar;Rally Time (2);2;;;19566;4133;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;;;;;;;;;;
Mutiara Ayu Puspitasar;"-1;27 (1)";2;1;6;17566;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;6;Mutiara Ayu Puspitasar;Forehand long service;10;;;Construccion;;;
Fitriani Fitriani;"11;-53 (1)";2;2;9;19566;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;9;;;;;;Construccion;;;
Mutiara Ayu Puspitasar;"-14;54 (1)";2;3;9;19566;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;9;;;;;;Attack;;;
Fitriani Fitriani;"3;1 (1)";2;4;3;21666;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;NET;;;;Error Mutiara Ayu Puspitasar;;Construccion;;;
Fitriani Fitriani;Rest Time (2);2;;;23700;10166;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;;1;1;Akmil Open 2021;40;430;;;;;;Rest Time;;;;
Fitriani Fitriani;Rally Time (3);3;;;33866;12933;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;;;;;;;;;;
Fitriani Fitriani;"2;-26 (1)";3;1;6;31866;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;6;Fitriani Fitriani;Forehand short service;7;;;Construccion;;;
Mutiara Ayu Puspitasar;"-10;18 (1)";3;2;1;33033;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;1;;;;;;Construccion;;;
Fitriani Fitriani;"10;-7 (1)";3;3;1;33033;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;1;;;;;;Defence;;;
Mutiara Ayu Puspitasar;"-15;55 (1)";3;4;9;34033;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;9;;;;;;Construccion;;;
Fitriani Fitriani;"-15;-55 (1)";3;5;12;34033;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;12;;;;;;Construccion;;;
Mutiara Ayu Puspitasar;"-14;5 (1)";3;6;1;34033;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;1;;;;;;Construccion;;;
Fitriani Fitriani;"-13;-5 (1)";3;7;4;34033;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;4;;;;;;Defence;;;
Mutiara Ayu Puspitasar;"-11;55 (1)";3;8;9;38100;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;9;;;;;;Attack;;;
Fitriani Fitriani;"-3;-36 (1)";3;9;7;40400;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;7;;;;;;Defence;;;
Mutiara Ayu Puspitasar;"12;14 (1)";3;10;4;40966;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;4;;;;;;Construccion;;;
Fitriani Fitriani;"-14;-53 (1)";3;11;12;40966;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;12;;;;;;Defence;F;;
Mutiara Ayu Puspitasar;"-15;35 (1)";3;12;5;43066;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;5;;;;;;Defence;;;
Fitriani Fitriani;"-14;1 (1)";3;13;1;43666;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;NET;;;;Error Mutiara Ayu Puspitasar;;Construccion;;;
Mutiara Ayu Puspitasar;Rest Time (3);3;;;46800;12433;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;;1;1;Akmil Open 2021;40;430;;;;;;Rest Time;;;;
Mutiara Ayu Puspitasar;Rally Time (4);4;;;59233;6933;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;;;;;;;;;;
Fitriani Fitriani;"-2;-26 (1)";4;1;7;57233;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;7;Fitriani Fitriani;Forehand long service;11;;;Construccion;;;
Mutiara Ayu Puspitasar;"15;55 (1)";4;2;12;59933;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;12;;;;;;Construccion;;;
Fitriani Fitriani;"-15;-25 (1)";4;3;8;59933;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;8;;;;;;Construccion;;;
Mutiara Ayu Puspitasar;"-14;55 (1)";4;4;9;59933;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;9;;;;;;Defence;;Reves;
Fitriani Fitriani;"-3;-53 (1)";4;5;11;61533;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;11;;;;;;Attack;;;
Mutiara Ayu Puspitasar;"-21;40 (1)";4;6;Out;63233;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;OUT SIDE;;;;Unforced Fitriani Fitriani;;Construccion;;;
Mutiara Ayu Puspitasar;Rest Time (4);4;;;66166;10933;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;;1;1;Akmil Open 2021;40;430;;;;;;Rest Time;;;;
Mutiara Ayu Puspitasar;Rally Time (5);5;;;77100;5666;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;;;;;;;;;;
Mutiara Ayu Puspitasar;"2;25 (1)";5;1;7;75100;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;7;Mutiara Ayu Puspitasar;Forehand long service;9;;;Construccion;;;
Fitriani Fitriani;"-5;-54 (1)";5;2;11;77500;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;11;;;;;;Construccion;;;
Mutiara Ayu Puspitasar;"3;35 (1)";5;3;7;77500;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;7;;;;;;Construccion;;;
Fitriani Fitriani;"14;-16 (1)";5;4;1;77500;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;1;;;;;;Construccion;;;
Mutiara Ayu Puspitasar;"12;12 (1)";5;5;4;77500;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;4;;;;;;Construccion;;;
Fitriani Fitriani;"14;-57 (1)";5;6;9;77500;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;9;;;;Winner Mutiara Ayu Puspitasar;;Construccion;;;
Fitriani Fitriani;Rest Time (5);5;;;82766;13966;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;;1;1;Akmil Open 2021;40;430;;;;;;Rest Time;;;;
Fitriani Fitriani;Rally Time (6);6;;;96733;5300;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;;;;;;;;;;
Mutiara Ayu Puspitasar;"-2;26 (1)";6;1;6;94733;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;6;Mutiara Ayu Puspitasar;Forehand long service;10;;;Construccion;;;
Fitriani Fitriani;"9;-54 (1)";6;2;9;97066;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;9;;;;;;Construccion;;;
Mutiara Ayu Puspitasar;"-14;55 (2)";6;3;9;97066;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;9;;;;;;Defence;;;
Fitriani Fitriani;"-19;-55 (1)";6;4;Out;98633;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;OUT SIDE;;;;Error Mutiara Ayu Puspitasar;;Construccion;;;
Fitriani Fitriani;Rest Time (6);6;;;102033;10133;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;;1;1;Akmil Open 2021;40;430;;;;;;Rest Time;;;;
Fitriani Fitriani;Rally Time (7);7;;;112166;2866;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;;;;;;;;;;
Fitriani Fitriani;"3;-25 (1)";7;1;6;110166;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;6;Fitriani Fitriani;Forehand long service;10;;;Construccion;;;
Mutiara Ayu Puspitasar;"-9;57 (1)";7;2;9;112433;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;9;;;;Winner Fitriani Fitriani;;Construccion;;;
Mutiara Ayu Puspitasar;Rest Time (7);7;;;115033;8066;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;;1;1;Akmil Open 2021;40;430;;;;;;Rest Time;;;;
Mutiara Ayu Puspitasar;Rally Time (8);8;;;123100;14400;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;;;;;;;;;;
Fitriani Fitriani;"-2;-24 (1)";8;1;7;121100;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;7;Fitriani Fitriani;Forehand long service;11;;;Construccion;;;
Mutiara Ayu Puspitasar;"14;56 (1)";8;2;12;123333;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;12;;;;;;Attack;;;
Fitriani Fitriani;"11;-36 (1)";8;3;5;123933;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;5;;;;;;Defence;;;
Mutiara Ayu Puspitasar;"14;56 (2)";8;4;12;123933;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;12;;;;;;Defence;F;;
Fitriani Fitriani;"13;-36 (1)";8;5;5;125666;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;5;;;;;;Defence;;;
Mutiara Ayu Puspitasar;"-11;14 (1)";8;6;1;125666;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;1;;;;;;Construccion;;;
Fitriani Fitriani;"13;-12 (1)";8;7;1;125666;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;1;;;;;;Construccion;;;
Mutiara Ayu Puspitasar;"9;54 (1)";8;8;12;125666;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;12;;;;;;Attack;;;
Fitriani Fitriani;"13;-36 (2)";8;9;5;128300;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;5;;;;;;Defence;;;
