Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Tipo de recepcion;Game Phase;Rally Outcome;Rest Time;Barrido Fuerte;Reves;Match Duration
;Rally Time (1);1;;;308480;6040;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;;;;;;;;;;;
Line Christophersen;"2;25 (1)";1;1;7;306480;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;7;Line Christophersen;Backhand short service;3;;Construccion;;;;;
Leonice Huet;"-10;-18 (1)";1;2;4;307520;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;4;;;;Modificada;Construccion;;;;;
Line Christophersen;"-12;11 (1)";1;3;1;307520;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;1;;;;;Construccion;;;;;
Leonice Huet;"-14;-56 (1)";1;4;12;307520;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;12;;;;;Defence;;;;;
Line Christophersen;"-3;6 (1)";1;5;2;309880;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;2;;;;;Attack;;;;;
Leonice Huet;"3;-34 (1)";1;6;6;310800;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;6;;;;;Defence;;;;;
Line Christophersen;"-13;54 (1)";1;7;9;311160;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;9;;;;;Construccion;Winner Leonice Huet;;;;
Leonice Huet;Rest Time (1);1;;;314520;14280;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;;3;1;Denmark Master 2021;24;74;;;;;;;;Rest Time;;;
Leonice Huet;Rally Time (2);2;;;328800;7160;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;;;;;;;;;;;
Leonice Huet;"2;-24 (1)";2;1;6;326800;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;6;Leonice Huet;Forehand short service;6;;Construccion;;;;;
Line Christophersen;"-5;18 (1)";2;2;2;327760;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;2;;;;Modificada/Finta;Construccion;;;;;
Leonice Huet;"-14;-56 (2)";2;3;12;328400;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;12;;;;;Defence;;;F;;
Line Christophersen;"-15;33 (1)";2;4;5;328920;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;5;;;;;Construccion;;;;;
Leonice Huet;"-14;-9 (1)";2;5;4;328920;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;4;;;;;Construccion;;;;;
Line Christophersen;"13;10 (1)";2;6;4;328920;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;4;;;;;Defence;;;;;
Leonice Huet;"13;-6 (1)";2;7;1;331240;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;1;;;;;Defence;;;;;
Line Christophersen;"-20;45 (1)";2;8;Out;332280;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;OUT SIDE;;;;;Construccion;Error Leonice Huet;;;;
Line Christophersen;Rest Time (2);2;;;335960;14760;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;;3;1;Denmark Master 2021;24;74;;;;;;;;Rest Time;;;
Line Christophersen;Rally Time (3);3;;;350720;6000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;;;;;;;;;;;
Line Christophersen;"-2;25 (1)";3;1;6;348720;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;6;Line Christophersen;Backhand short service;7;;Construccion;;;;;
Leonice Huet;"11;-19 (1)";3;2;1;349760;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;1;;;;Finta;Construccion;;;;;
Line Christophersen;"14;54 (1)";3;3;12;349760;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;12;;;;;Defence;;;;;
Leonice Huet;"14;-55 (1)";3;4;9;350480;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;9;;;;;Construccion;;;;;
Line Christophersen;"15;28 (1)";3;5;8;350480;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;8;;;;;Construccion;;;;;
Leonice Huet;"12;-14 (1)";3;6;1;350480;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;1;;;;;Construccion;;;;;
Line Christophersen;"-13;55 (1)";3;7;9;350480;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;9;;;;;Attack;;;;;
Leonice Huet;"-11;1 (1)";3;8;1;354680;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;NET;;;;;Construccion;Unforced Line Christophersen;;;;
