Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Game Phase;Rally Outcome;Rest Time;Reves;Tipo de recepcion;Barrido Fuerte;Match Duration
;Rally Time (1);1;;;323640;2160;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;;;;;;;;;;;
Marie Batomene;"2;25 (1)";1;1;7;321640;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;7;Marie Batomene;Backhand short service;5;Construccion;;;;;;
Maria Ulitina;"-3;-18 (1)";1;2;3;322720;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;3;;;;Attack;;;;;;
Marie Batomene;"-19;52 (1)";1;3;Out;323800;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;OUT SIDE;;;;Construccion;Unforced Maria Ulitina;;;;;
Maria Ulitina;Rest Time (1);1;;;325800;8960;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;;1;1;Spanish International 2021;91;58;;;;;;;Rest Time;;;;
Maria Ulitina;Rally Time (2);2;;;334760;6760;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;;;;;;;;;;;
Marie Batomene;"-2;25 (1)";2;1;6;332760;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;6;Marie Batomene;Backhand short service;8;Construccion;;;;;;
Maria Ulitina;"14;-19 (1)";2;2;1;333800;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;1;;;;Construccion;;;;;;
Marie Batomene;"4;6 (1)";2;3;3;333800;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;3;;;;Construccion;;;;;;
Maria Ulitina;"13;-55 (1)";2;4;9;333800;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;9;;;;Defence;;;Reves;;;
Marie Batomene;"-3;55 (1)";2;5;10;335920;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;10;;;;Attack;;;;;;
Maria Ulitina;"-15;-40 (1)";2;6;8;338240;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;8;;;;Defence;;;;;;
Marie Batomene;"-13;54 (1)";2;7;9;338160;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;9;;;;Attack;;;;;;
Maria Ulitina;"-15;-45 (1)";2;8;8;338880;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;8;;;;Construccion;Winner Marie Batomene;;;;;
Maria Ulitina;Rest Time (2);2;;;341520;16280;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;;1;1;Spanish International 2021;91;58;;;;;;;Rest Time;;;;
Maria Ulitina;Rally Time (3);3;;;357800;3400;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;;;;;;;;;;;
Marie Batomene;"2;24 (1)";3;1;7;355800;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;7;Marie Batomene;Backhand short service;5;Construccion;;;;;;
Maria Ulitina;"-4;-17 (1)";3;2;3;356920;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;3;;;;Construccion;;;;Finta;;
Marie Batomene;"14;55 (1)";3;3;12;356920;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;12;;;;Defence;;;;;;
Maria Ulitina;"12;-16 (1)";3;4;1;358000;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;1;;;;Attack;;;;;;
Marie Batomene;"-10;31 (1)";3;5;5;358640;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;5;;;;Construccion;Winner Maria Ulitina;;;;;
Maria Ulitina;Rest Time (3);3;;;361200;11000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;;1;1;Spanish International 2021;91;58;;;;;;;Rest Time;;;;
Maria Ulitina;Rally Time (4);4;;;372200;3200;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;;;;;;;;;;;
Maria Ulitina;"2;-24 (1)";4;1;6;370200;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;6;Maria Ulitina;Backhand short service;1;Construccion;;;;;;
