Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Game Phase;Rally Outcome;Rest Time;Tipo de recepcion;Reves;Barrido Fuerte;Match Duration
;Rally Time (1);1;;;539280;3600;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;;;;;;;;;;;
Pai Yu Po;"2;25 (1)";1;1;7;537280;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;7;Pai Yu Po;Forehand long service;9;Construccion;;;;;;
Evgeniya Kosetskaya;"-3;-52 (1)";1;2;11;539360;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;11;;;;Attack;;;;;;
Pai Yu Po;"-15;34 (1)";1;3;5;540200;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;5;;;;Defence;;;;;;
Evgeniya Kosetskaya;"-13;2 (1)";1;4;1;540200;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;NET;;;;Construccion;Error Pai Yu Po;;;;;
Evgeniya Kosetskaya;Rest Time (1);1;;;542880;8720;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;;1;1;Indonesia Masters 2021;22;43;;;;;;;Rest Time;;;;
Evgeniya Kosetskaya;Rally Time (2);2;;;551600;3520;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;;;;;;;;;;;
Evgeniya Kosetskaya;"2;-25 (1)";2;1;6;549600;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;6;Evgeniya Kosetskaya;Backhand short service;7;Construccion;;;;;;
Pai Yu Po;"-7;19 (1)";2;2;1;550240;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;1;;;;Construccion;;;Modificada;;;
Evgeniya Kosetskaya;"-14;-39 (1)";2;3;8;550600;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;8;;;;Construccion;;;;;;
Pai Yu Po;"-14;55 (1)";2;4;9;550600;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;9;;;;Construccion;;;;;;
Evgeniya Kosetskaya;"-15;-15 (1)";2;5;4;550600;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;4;;;;Construccion;Winner Pai Yu Po;;;;;
Pai Yu Po;Rest Time (2);2;;;555120;10600;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;;1;1;Indonesia Masters 2021;22;43;;;;;;;Rest Time;;;;
