Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Game Phase;Barrido Fuerte;Rally Outcome;Rest Time;Tipo de recepcion;Reves;Match Duration
;Rally Time (1);1;;;326160;3720;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;;;;;;;;;;;
Clara Azurmendi;"2;25 (1)";1;1;7;324160;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;7;Clara Azurmendi;Backhand flick;10;Construccion;;;;;;
Pusharla V Shindu;"-10;-52 (1)";1;2;12;324840;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;12;;;;Construccion;;;;;;
Clara Azurmendi;"-14;17 (1)";1;3;1;324840;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;1;;;;Defence;;;;;;
Pusharla V Shindu;"-14;-53 (1)";1;4;12;325680;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;12;;;;Defence;F;;;;;
Clara Azurmendi;"2;2 (1)";1;5;3;327000;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;NET;;;;Construccion;;Error Pusarla V Shindu;;;;
Pusharla V Shindu;Rest Time (1);1;;;329880;12120;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;;2;1;Indonesia Master 2021;58;7;;;;;;;;Rest Time;;;
Pusharla V Shindu;Rally Time (2);2;;;342000;2160;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;;;;;;;;;;;
Clara Azurmendi;"-1;24 (1)";2;1;6;340000;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;6;Clara Azurmendi;Backhand short service;5;Construccion;;;;;;
Pusharla V Shindu;"3;-18 (1)";2;2;2;340920;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;2;;;;Construccion;;;;Finta;;
Clara Azurmendi;"-14;14 (1)";2;3;1;341080;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;1;;;;Construccion;;Winner Pusarla V Shindu;;;;
Pusharla V Shindu;Rest Time (2);2;;;344160;9920;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;;2;1;Indonesia Master 2021;58;7;;;;;;;;Rest Time;;;
Pusharla V Shindu;Rally Time (3);3;;;354080;4640;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;;;;;;;;;;;
Pusharla V Shindu;"2;-24 (1)";3;1;6;352080;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;6;Pusarla V Shindu;Backhand short service;5;Construccion;;;;;;
