Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;Field Position;Player on C1;Type of service;Zona de C1;Tipo de recepcion;Game Phase;Rally Outcome;Rest Time;Reves;Barrido Fuerte;Match Duration
;Rally Time (1);1;;;205800;4600;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;;;;;;;;;;;
Line Kjaersfeldt;"2;25 (1)";1;1;7;203800;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;7;Line Kjaersfeldt;Backhand short service;7;;Construccion;;;;;
Clara Azurmendi;"-9;-18 (1)";1;2;4;204840;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;4;;;;Modificada;Construccion;;;;;
Line Kjaersfeldt;"-15;13 (1)";1;3;1;204880;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;1;;;;;Defence;;;;;
Clara Azurmendi;"-14;-55 (1)";1;4;12;204880;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Construccion;;;;;
Line Kjaersfeldt;"14;62 (1)";1;5;12;206800;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;OUT LENGTH;;;;;Construccion;Unforced Clara Azurmendi;;;;
Clara Azurmendi;Rest Time (1);1;;;210400;12280;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;;1;1;All England 2022;46;;;;;;;;Rest Time;;;
Clara Azurmendi;Rally Time (2);2;;;222680;3360;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;;;;;;;;;;;
Line Kjaersfeldt;"-1;25 (1)";2;1;6;220680;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;6;Line Kjaersfeldt;Backhand short service;6;;Construccion;;;;;
Clara Azurmendi;"5;-18 (1)";2;2;2;222240;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;2;;;;Modificada;Construccion;;;;;
