Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Game Phase;Rally Outcome;Rest Time;Tipo de recepcion;Reves;Barrido Fuerte;Match Duration
;Rally Time (1);1;;;17333;8533;5;IND;ESP;Before;Malvika Bansod-Clara Azurmendi;Left handed;Right handed;Malvika Bansod;Clara Azurmendi;Rally Time;1;1;Hylo Open 2022;39;36;;;;;;;;;;;
Malvika Bansod;"2;25 (1)";1;1;7;15333;5000;5;IND;ESP;Before;Malvika Bansod-Clara Azurmendi;Left handed;Right handed;Malvika Bansod;Clara Azurmendi;Rally Time;1;1;Hylo Open 2022;39;36;7;Malvika Bansod;Forehand short service;1;Construccion;;;;;;
Clara Azurmendi;"-3;-16 (1)";1;2;3;16600;5000;5;IND;ESP;Before;Malvika Bansod-Clara Azurmendi;Left handed;Right handed;Malvika Bansod;Clara Azurmendi;Rally Time;1;1;Hylo Open 2022;39;36;3;;;;Construccion;;;;;;
Malvika Bansod;"-14;54 (1)";1;3;9;16600;5000;5;IND;ESP;Before;Malvika Bansod-Clara Azurmendi;Left handed;Right handed;Malvika Bansod;Clara Azurmendi;Rally Time;1;1;Hylo Open 2022;39;36;9;;;;Construccion;;;;;;
Clara Azurmendi;"-14;-38 (1)";1;4;8;16600;5000;5;IND;ESP;Before;Malvika Bansod-Clara Azurmendi;Left handed;Right handed;Malvika Bansod;Clara Azurmendi;Rally Time;1;1;Hylo Open 2022;39;36;8;;;;Construccion;;;;;;
Malvika Bansod;"-3;30 (1)";1;5;6;16600;5000;5;IND;ESP;Before;Malvika Bansod-Clara Azurmendi;Left handed;Right handed;Malvika Bansod;Clara Azurmendi;Rally Time;1;1;Hylo Open 2022;39;36;6;;;;Construccion;;;;;;
Clara Azurmendi;"-14;-55 (1)";1;6;12;16600;5000;5;IND;ESP;Before;Malvika Bansod-Clara Azurmendi;Left handed;Right handed;Malvika Bansod;Clara Azurmendi;Rally Time;1;1;Hylo Open 2022;39;36;12;;;;Defence;;;;;;
Malvika Bansod;"14;56 (1)";1;7;12;20800;5000;5;IND;ESP;Before;Malvika Bansod-Clara Azurmendi;Left handed;Right handed;Malvika Bansod;Clara Azurmendi;Rally Time;1;1;Hylo Open 2022;39;36;12;;;;Defence;;;;;;
Clara Azurmendi;"11;-13 (1)";1;8;1;21133;5000;5;IND;ESP;Before;Malvika Bansod-Clara Azurmendi;Left handed;Right handed;Malvika Bansod;Clara Azurmendi;Rally Time;1;1;Hylo Open 2022;39;36;1;;;;Construccion;;;;;;
Malvika Bansod;"-15;55 (1)";1;9;9;21133;5000;5;IND;ESP;Before;Malvika Bansod-Clara Azurmendi;Left handed;Right handed;Malvika Bansod;Clara Azurmendi;Rally Time;1;1;Hylo Open 2022;39;36;9;;;;Attack;;;;;;
Clara Azurmendi;"-14;-43 (1)";1;10;8;22733;5000;5;IND;ESP;Before;Malvika Bansod-Clara Azurmendi;Left handed;Right handed;Malvika Bansod;Clara Azurmendi;Rally Time;1;1;Hylo Open 2022;39;36;8;;;;Defence;;;;;;
Malvika Bansod;"-5;1 (1)";1;11;2;23200;5000;5;IND;ESP;Before;Malvika Bansod-Clara Azurmendi;Left handed;Right handed;Malvika Bansod;Clara Azurmendi;Rally Time;1;1;Hylo Open 2022;39;36;NET;;;;Construccion;Error Clara Azurmendi;;;;;
Clara Azurmendi;Rest Time (1);1;;;25866;10533;5;IND;ESP;Before;Malvika Bansod-Clara Azurmendi;Left handed;Right handed;Malvika Bansod;Clara Azurmendi;;1;1;Hylo Open 2022;39;36;;;;;;;Rest Time;;;;
Clara Azurmendi;Rally Time (2);2;;;36400;2033;5;IND;ESP;Before;Malvika Bansod-Clara Azurmendi;Left handed;Right handed;Malvika Bansod;Clara Azurmendi;Rally Time;1;1;Hylo Open 2022;39;36;;;;;;;;;;;
