Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Game Phase;Rally Outcome;Rest Time;Tipo de recepcion;Reves;Barrido Fuerte;Match Duration
;Rally Time (1);1;;;29900;8266;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;;;;;;;;;;;
Clara Azurmendi;"2;24 (1)";1;1;7;27900;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;7;Clara Azurmendi;Backhand flick;11;Construccion;;;;;;
Natsuki Nidaira;"-15;-54 (1)";1;2;12;29200;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;12;;;;Construccion;;;;;;
Clara Azurmendi;"-15;56 (1)";1;3;9;29200;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;9;;;;Construccion;;;;;;
Natsuki Nidaira;"-15;-55 (1)";1;4;12;29200;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;12;;;;Construccion;;;;;;
Clara Azurmendi;"-14;54 (1)";1;5;9;29200;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;9;;;;Defence;;;;;;
Natsuki Nidaira;"-16;-55 (1)";1;6;12;32566;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;12;;;;Construccion;;;;;;
Clara Azurmendi;"-14;15 (1)";1;7;1;32566;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;1;;;;Defence;;;;;;
Natsuki Nidaira;"-3;-7 (1)";1;8;3;34766;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;3;;;;Attack;;;;;;
Clara Azurmendi;"-3;47 (1)";1;9;6;35633;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;6;;;;Construccion;Winner Natsuki Nidaira;;;;;
Natsuki Nidaira;Rest Time (1);1;;;38166;13966;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;;3;1;Canadian International Challenge 2022;34;50;;;;;;;Rest Time;;;;
Natsuki Nidaira;Rally Time (2);2;;;52133;5766;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;;;;;;;;;;;
Natsuki Nidaira;"2;-25 (1)";2;1;6;50133;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;6;Natsuki Nidaira;Forehand long service;10;Construccion;;;;;;
Clara Azurmendi;"-8;53 (1)";2;2;9;52733;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;9;;;;Attack;;;;;;
Natsuki Nidaira;"14;-36 (1)";2;3;5;53333;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;5;;;;Defence;;;;;;
