Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Rally Outcome;Rest Time;Barrido Fuerte;Game Phase;Reves;Tipo de recepcion;Match Duration
;Rally Time (1);1;;;32966;3133;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;;;;;;;;;;;
Beiwen Zhang;"3;26 (1)";1;1;7;30966;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;7;Beiwen Zhang;Forehand short service;4;;;;Construccion;;;
Clara Azurmendi;"-14;-15 (1)";1;2;4;31966;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;4;;;;;;;Construccion;;;
Beiwen Zhang;"-3;6 (1)";1;3;2;31966;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;2;;;;;;;Construccion;;;
Clara Azurmendi;"4;1 (1)";1;4;3;31966;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;NET;;;;Unforced Beiwen Zhang;;;Construccion;;;
Clara Azurmendi;Rest Time (1);1;;;36100;12800;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;;2;1;Spain Masters 2023;40;21;;;;;;Rest Time;;;;;
Clara Azurmendi;Rally Time (2);2;;;48900;12433;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;;;;;;;;;;;
Clara Azurmendi;"3;-25 (1)";2;1;6;46900;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;6;Clara Azurmendi;Backhand short service;7;;;;Construccion;;;
Beiwen Zhang;"-10;16 (1)";2;2;1;47933;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;1;;;;;;;Construccion;;;
Clara Azurmendi;"13;-7 (1)";2;3;1;47933;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;1;;;;;;;Construccion;;;
Beiwen Zhang;"14;54 (1)";2;4;12;47933;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;12;;;;;;F;Defence;;;
Clara Azurmendi;"11;-38 (1)";2;5;5;49633;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;5;;;;;;;Attack;;;
Beiwen Zhang;"-10;34 (1)";2;6;5;50133;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;5;;;;;;;Defence;;;
Clara Azurmendi;"-2;-6 (1)";2;7;3;50900;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;3;;;;;;;Construccion;;;
Beiwen Zhang;"-3;6 (2)";2;8;2;50900;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;2;;;;;;;Defence;;;
Clara Azurmendi;"-2;-55 (1)";2;9;11;53466;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;11;;;;;;;Attack;;;
Beiwen Zhang;"9;35 (1)";2;10;8;54566;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;8;;;;;;;Defence;;;
Clara Azurmendi;"12;-17 (1)";2;11;1;55066;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;1;;;;;;;Construccion;;;
Beiwen Zhang;"-14;55 (1)";2;12;9;55066;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;9;;;;;;;Defence;Reves;;
Clara Azurmendi;"-10;-55 (1)";2;13;12;57133;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;12;;;;;;;Attack;;;
Beiwen Zhang;"15;35 (1)";2;14;8;59300;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;8;;;;Winner Clara Azurmendi;;;Construccion;;;
Beiwen Zhang;Rest Time (2);2;;;61333;14000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;;2;1;Spain Masters 2023;40;21;;;;;;Rest Time;;;;;
Beiwen Zhang;Rally Time (3);3;;;75333;6533;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;;;;;;;;;;;
Clara Azurmendi;"-2;-26 (1)";3;1;7;73333;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;7;Clara Azurmendi;Backhand short service;7;;;;Construccion;;;
Beiwen Zhang;"9;16 (1)";3;2;4;74366;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;4;;;;;;;Construccion;;;
Clara Azurmendi;"-13;-7 (1)";3;3;4;74366;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;4;;;;;;;Defence;;;
Beiwen Zhang;"-10;56 (1)";3;4;9;75800;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;9;;;;;;;Construccion;;;
Clara Azurmendi;"10;-56 (1)";3;5;9;75800;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;9;;;;;;;Construccion;;;
