Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Rally Outcome;Rest Time;Game Phase;Tipo de recepcion;Barrido Fuerte;Reves;Match Duration
;Rally Time (1);1;;;53483;6100;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;;;;;;;;;;;
Ania Setien;"-3;-26 (1)";1;1;7;51483;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;7;Ania Setien;Backhand flick;10;;;Construccion;;;;
Jennie Gai;"9;56 (1)";1;2;12;52716;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;12;;;;;;Construccion;;;;
Ania Setien;"-14;-53 (1)";1;3;12;52716;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;12;;;;;;Construccion;;;;
Jennie Gai;"-14;54 (1)";1;4;9;52716;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;9;;;;;;Construccion;;;;
Ania Setien;"-14;-55 (1)";1;5;12;52716;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;12;;;;;;Construccion;;;;
Jennie Gai;"20;22 (1)";1;6;Out;52716;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;OUT SIDE;;;;Unforced Ania Setien;;Construccion;;;;
Jennie Gai;Rest Time (1);1;;;59583;9533;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;;QR;1;Orleans Masters 2023;118;74;;;;;;Rest Time;;;;;
Jennie Gai;Rally Time (2);2;;;69116;9383;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;;;;;;;;;;;
Jennie Gai;"-3;25 (1)";2;1;6;67116;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;6;Jennie Gai;Forehand long service;10;;;Construccion;;;;
Ania Setien;"10;-54 (1)";2;2;9;68833;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;9;;;;;;Construccion;;;;
Jennie Gai;"-12;28 (1)";2;3;5;68833;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;5;;;;;;Defence;;;;
Ania Setien;"-14;-42 (1)";2;4;8;69916;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;8;;;;;;Construccion;;;;
Jennie Gai;"-14;13 (1)";2;5;1;69916;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;1;;;;;;Construccion;;;;
Ania Setien;"-15;-55 (1)";2;6;12;69916;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;12;;;;;;Attack;;;;
Jennie Gai;"10;34 (1)";2;7;8;72733;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;8;;;;;;Defence;;;;
Ania Setien;"13;-11 (1)";2;8;1;73383;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;1;;;;;;Defence;;;;
Jennie Gai;"13;8 (1)";2;9;4;74700;5000;QR;ESP;USA;Before;Ania Setien-Jennie Gai;Left handed;Right handed;Ania Setien;Jennie Gai;Rally Time;QR;1;Orleans Masters 2023;118;74;4;;;;;;Construccion;;;;
