Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Game Phase;Reves;Rally Outcome;Rest Time;Tipo de recepcion;Barrido Fuerte;Match Duration
;Rally Time (1);1;;;345800;3280;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;;;;;;;;;;;
Ania Setien;"3;25 (1)";1;1;7;343800;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;7;Ania Setien;Backhand short service;7;Construccion;;;;;;
Lo Sin Yan Happy;"-10;-17 (1)";1;2;4;345000;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;4;;;;Construccion;;;;;;
Ania Setien;"13;55 (1)";1;3;12;345000;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;12;;;;Defence;Reves;;;;;
Lo Sin Yan Happy;"14;2 (1)";1;4;4;346160;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;NET;;;;Construccion;;Error Ania Setien;;;;
Lo Sin Yan Happy;Rest Time (1);1;;;349080;11440;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;;3;1;Luxembourg Open 2023;109;261;;;;;;;;Rest Time;;;
Lo Sin Yan Happy;Rally Time (2);2;;;360520;3800;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;;;;;;;;;;;
Lo Sin Yan Happy;"2;-25 (1)";2;1;6;358520;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;6;Lo Sin Yan Happy;Forehand long service;10;Construccion;;;;;;
Ania Setien;"-10;54 (1)";2;2;9;360920;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;9;;;;Construccion;;;;;;
Lo Sin Yan Happy;"-3;-35 (1)";2;3;7;360920;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;7;;;;Defence;;;;;;
Ania Setien;"10;2 (1)";2;4;4;361480;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;NET;;;;Construccion;;Error Lo Sin Yan Happy;;;;
Ania Setien;Rest Time (2);2;;;364320;12080;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;;3;1;Luxembourg Open 2023;109;261;;;;;;;;Rest Time;;;
Ania Setien;Rally Time (3);3;;;376400;6640;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;;;;;;;;;;;
Ania Setien;"-2;25 (1)";3;1;6;374400;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;6;Ania Setien;Backhand short service;6;Construccion;;;;;;
Lo Sin Yan Happy;"5;-16 (1)";3;2;2;375360;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;2;;;;Construccion;;;;;;
Ania Setien;"13;14 (1)";3;3;4;375360;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;4;;;;Defence;;;;;;
Lo Sin Yan Happy;"12;-55 (1)";3;4;9;376720;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;9;;;;Construccion;;;;;;
Ania Setien;"12;8 (1)";3;5;4;376720;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;4;;;;Construccion;;;;;;
Lo Sin Yan Happy;"-13;-14 (1)";3;6;4;376720;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;4;;;;Construccion;;;;;;
Ania Setien;"-14;55 (1)";3;7;9;376720;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;9;;;;Defence;;;;;;
Lo Sin Yan Happy;"-9;1 (1)";3;8;1;380360;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;NET;;;;Construccion;;Error Ania Setien;;;;
Lo Sin Yan Happy;Rest Time (3);3;;;383040;14840;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;;3;1;Luxembourg Open 2023;109;261;;;;;;;;Rest Time;;;
Lo Sin Yan Happy;Rally Time (4);4;;;397880;5640;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;;;;;;;;;;;
Lo Sin Yan Happy;"-3;-25 (1)";4;1;7;395880;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;7;Lo Sin Yan Happy;Forehand long service;10;Construccion;;;;;;
Ania Setien;"10;54 (1)";4;2;12;397320;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;12;;;;Attack;;;;;;
Lo Sin Yan Happy;"-3;-35 (2)";4;3;7;398800;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;7;;;;Defence;;;;;;
Ania Setien;"12;53 (1)";4;4;12;398840;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;12;;;;Attack;;;;;;
Lo Sin Yan Happy;"-4;-34 (1)";4;5;7;399960;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;7;;;;Defence;;;;;;
Ania Setien;"-4;1 (1)";4;6;2;400640;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;NET;;;;Construccion;;Error Lo Sin Yan Happy;;;;
Ania Setien;Rest Time (4);4;;;403520;10640;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;;3;1;Luxembourg Open 2023;109;261;;;;;;;;Rest Time;;;
Ania Setien;Rally Time (5);5;;;414160;16920;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;;;;;;;;;;;
Ania Setien;"3;25 (2)";5;1;7;412160;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;7;Ania Setien;Backhand short service;6;Construccion;;;;;;
Lo Sin Yan Happy;"-4;-17 (1)";5;2;3;413160;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;3;;;;Construccion;;;;Modificada;;
Ania Setien;"11;54 (1)";5;3;12;413640;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;12;;;;Defence;;;;;;
Lo Sin Yan Happy;"13;-53 (1)";5;4;9;415000;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;9;;;;Attack;;;;;;
Ania Setien;"13;39 (1)";5;5;8;415440;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;8;;;;Defence;;;;;;
Lo Sin Yan Happy;"12;-16 (1)";5;6;1;415880;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;1;;;;Construccion;;;;;;
Ania Setien;"13;5 (1)";5;7;4;415880;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;4;;;;Construccion;;;;;;
Lo Sin Yan Happy;"13;-6 (1)";5;8;1;415880;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;1;;;;Defence;;;;;;
Ania Setien;"10;54 (2)";5;9;12;419560;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;12;;;;Attack;;;;;;
Lo Sin Yan Happy;"-3;-40 (1)";5;10;7;420600;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;7;;;;Defence;;;;;;
Ania Setien;"10;17 (1)";5;11;4;421160;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;4;;;;Construccion;;;;;;
Lo Sin Yan Happy;"12;-55 (2)";5;12;9;421160;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;9;;;;Defence;;;;;;
Ania Setien;"10;15 (1)";5;13;4;422880;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;4;;;;Defence;;;;;;
Lo Sin Yan Happy;"-14;-55 (1)";5;14;12;424000;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;12;;;;Defence;;;;;F;
Ania Setien;"-13;34 (1)";5;15;5;425160;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;5;;;;Construccion;;;;;;
Lo Sin Yan Happy;"-14;-54 (1)";5;16;12;425160;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;12;;;;Attack;;;;;;
Ania Setien;"-15;36 (1)";5;17;5;426760;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;5;;;;Defence;;;;;;
Lo Sin Yan Happy;"-13;-14 (2)";5;18;4;427200;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;4;;;;Construccion;;;;;;
Ania Setien;"-14;15 (1)";5;19;1;427200;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;1;;;;Construccion;;Winner Lo Sin Yan Happy;;;;
Lo Sin Yan Happy;Rest Time (5);5;;;431080;14000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;;3;1;Luxembourg Open 2023;109;261;;;;;;;;Rest Time;;;
Lo Sin Yan Happy;Rally Time (6);6;;;445080;3120;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;;;;;;;;;;;
Lo Sin Yan Happy;"3;-25 (1)";6;1;6;443080;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;6;Lo Sin Yan Happy;Forehand long service;11;Construccion;;;;;;
Ania Setien;"-14;54 (1)";6;2;9;445480;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;9;;;;Attack;;;;;;
Lo Sin Yan Happy;"2;1 (1)";6;3;3;445480;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;NET;;;;Construccion;;Unforced Ania Setien;;;;
Ania Setien;Rest Time (6);6;;;448200;19840;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;;3;1;Luxembourg Open 2023;109;261;;;;;;;;Rest Time;;;
Ania Setien;Rally Time (7);7;;;468040;4800;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;;;;;;;;;;;
Lo Sin Yan Happy;"-3;-26 (1)";7;1;7;466040;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;7;Lo Sin Yan Happy;Forehand short service;3;Construccion;;;;;;
Ania Setien;"9;14 (1)";7;2;4;467120;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;4;;;;Construccion;;;;;;
Lo Sin Yan Happy;"-3;-10 (1)";7;3;3;467120;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;3;;;;Construccion;;;;;;
Ania Setien;"-14;14 (1)";7;4;1;467120;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;1;;;;Defence;;;;;;
Lo Sin Yan Happy;"13;-61 (1)";7;5;9;468800;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;OUT LENGTH;;;;Construccion;;Error Ania Setien;;;;
Ania Setien;Rest Time (7);7;;;472840;7720;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;;3;1;Luxembourg Open 2023;109;261;;;;;;;;Rest Time;;;
Ania Setien;Rally Time (8);8;;;480560;3400;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;;;;;;;;;;;
Lo Sin Yan Happy;"2;-25 (2)";8;1;6;478560;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;6;Lo Sin Yan Happy;Forehand short service;6;Construccion;;;;;;
Ania Setien;"-4;16 (1)";8;2;2;479800;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;2;;;;Construccion;;;;;;
Lo Sin Yan Happy;"-14;-54 (2)";8;3;12;479800;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;12;;;;Defence;;;;;;
Ania Setien;"1;1 (1)";8;4;3;480960;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;NET;;;;Construccion;;Error Lo Sin Yan Happy;;;;
Ania Setien;Rest Time (8);8;;;483960;12560;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;;3;1;Luxembourg Open 2023;109;261;;;;;;;;Rest Time;;;
Ania Setien;Rally Time (9);9;;;496520;12760;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;;;;;;;;;;;
Ania Setien;"-3;25 (1)";9;1;6;494520;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;6;Ania Setien;Backhand short service;6;Construccion;;;;;;
Lo Sin Yan Happy;"5;-16 (2)";9;2;2;495680;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;2;;;;Construccion;;;;;;
Ania Setien;"14;53 (1)";9;3;12;495680;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;12;;;;Defence;Reves;;;;;
